winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
HUN,USA,R,R,4,31.275,29.9
CHI,GER,L,L,1,25.7,27.7
ARG,CHN,R,R,4,27.65,26.6
FRA,USA,L,L,1,34.7,20.4
SVK,AUS,L,R,2,25.25,28.9
BRA,AUS,L,R,1,28.8,29.8
ESP,POL,R,R,3,22.2,26.5
GER,KAZ,R,R,1,25.9,25.8
GER,BRA,R,L,3,29.7,29.1
SUI,GBR,L,R,1,26.8,28.2
CRO,HUN,R,R,2,22.15,23.7
HUN,CZE,R,R,1,23.5,21.4
CHN,FRA,R,R,2,25.2,37.2
POR,SRB,R,R,1,26.2,32.8
GER,CHN,R,R,2,29.55,26.6
FRA,FRA,L,L,3,31.599999999999998,34.9
BUL,KAZ,R,R,2,32.2,26.3
ARG,POR,R,R,3,25.966666666666665,26.3
FRA,RUS,L,R,5,33.160000000000004,27.3
ITA,CRO,R,R,2,21.2,34.8
GRE,SRB,R,R,1,24.8,28.0
SRB,AUT,R,R,1,19.9,29.8
PER,ARG,R,L,1,27.7,33.3
USA,GER,R,L,1,24.5,29.2
CHN,USA,L,L,2,18.4,20.8
COL,ITA,R,R,1,27.1,30.8
SVK,FRA,L,R,1,25.6,19.2
BRA,CHI,R,L,1,25.4,26.1
GBR,KAZ,R,R,2,33.2,35.7
JPN,CHN,R,R,1,25.3,23.7
USA,PER,R,R,2,22.35,27.8
ESP,GER,R,L,1,20.3,29.3
SUI,JPN,R,L,1,38.4,27.9
FRA,HUN,L,R,2,29.65,30.9
USA,AUT,L,R,1,20.8,29.9
CZE,BLR,R,R,1,21.8,30.8
TPE,ITA,R,R,1,24.5,21.5
NED,SUI,R,L,1,28.0,21.1
SUI,LBN,L,R,1,21.1,28.7
ITA,JOR,R,L,1,28.4,19.9
FRA,ESP,L,L,1,35.3,35.8
USA,UZB,R,R,1,27.933333333333334,24.2
IND,DEN,L,R,1,33.2,19.5
EGY,URU,R,L,1,32.4,23.5
BAR,VAN,R,U,1,25.75,19.9
GER,CZE,R,R,3,28.833333333333332,22.4
RUS,ITA,R,R,15,26.8125,30.9
FRA,POR,R,R,3,27.825000000000003,34.8
FRA,USA,R,R,13,28.513333333333332,37.7
ESP,AUS,R,R,7,23.477777777777774,33.5
ESP,USA,R,R,12,25.518750000000004,38.1
RUS,AUT,R,R,1,25.2,29.3
GER,PER,R,R,2,28.549999999999997,27.5
AUS,ITA,R,R,11,26.572727272727274,36.3
HUN,RSA,R,R,1,30.9,25.8
USA,USA,L,R,6,20.7125,30.2
ESP,POR,L,R,1,35.0,33.8
USA,ECU,R,R,4,29.550000000000004,31.3
GEO,FRA,R,R,1,30.9,30.7
AUT,SVK,R,L,1,29.4,25.2
CZE,BIH,R,R,1,21.2,30.7
CHI,ARG,R,R,7,27.0625,33.2
GBR,BOL,L,R,1,27.4,29.6
KAZ,BUL,R,R,3,25.240000000000002,31.7
SWE,BEL,R,R,1,24.4,32.2
JPN,USA,R,R,2,25.15,25.9
GBR,JPN,L,R,3,28.2,30.1
CHI,AUS,L,R,1,25.7,28.8
GBR,MDA,R,R,1,35.8,33.3
SVK,ESP,L,L,1,25.2,35.1
COL,CHN,R,R,1,26.7,26.4
BUL,USA,R,L,1,31.9,20.5
ESP,GRE,R,R,2,19.95,24.7
ARG,NOR,R,R,2,24.9,24.8
BEL,ESP,R,L,1,32.3,41.5
KAZ,ITA,R,R,3,23.73333333333333,31.6
USA,AUT,R,R,4,24.05,29.6
SUI,GER,R,R,2,33.4,32.9
FIN,FRA,R,L,4,24.099999999999998,24.9
DEN,NOR,R,R,1,20.0,24.3
HUN,SRB,R,R,2,27.549999999999997,33.2
NOR,USA,R,R,3,24.566666666666666,27.4
KAZ,GER,R,R,2,24.8,33.1
CAN,ITA,L,R,1,24.1,22.2
ESP,CAN,R,L,1,20.0,24.1
NED,POL,R,R,1,26.9,26.3
SRB,GER,R,R,3,28.03333333333333,31.6
USA,SWE,R,R,2,24.950000000000003,24.7
CHI,FRA,R,L,3,27.833333333333332,35.3
RUS,JOR,R,L,1,25.8,19.6
BLR,ARG,R,R,1,29.3,31.3
GRE,GBR,R,R,1,24.8,36.1
AUS,JPN,R,L,1,27.2,27.8
GER,AUS,L,R,1,29.2,31.5
CAN,GBR,R,R,1,21.8,33.2
CRO,USA,R,R,5,25.98,28.3
ARG,USA,L,L,1,21.7,21.8
USA,NED,L,R,1,21.8,27.8
NED,JPN,R,R,1,27.2,26.1
POR,KAZ,R,R,1,26.5,35.7
DEN,CAN,R,R,1,20.4,23.1
POL,CHN,R,R,1,26.6,26.9
EST,ESP,R,R,1,20.4,26.4
CAN,POL,R,R,1,23.2,26.6
FRA,NED,R,L,1,32.6,27.6
FRA,SUI,L,R,1,25.2,38.4
ROU,THA,R,R,1,20.96666666666667,22.4
MAR,IND,R,R,1,20.3,26.6
MEX,CHN,R,R,1,27.1,18.4
FRA,ARG,L,R,1,34.5,30.8
RUS,SRB,R,R,8,26.58888888888889,35.7
ITA,AUS,R,R,11,23.664285714285715,30.2
ESP,RUS,R,R,6,24.5,27.7
JPN,DEN,L,R,1,27.2,19.6
NED,GER,R,L,1,27.2,27.5
ESP,ARG,R,R,7,25.9,30.4
SRB,SVK,R,L,1,27.5,25.0
FRA,NZL,R,R,1,36.5,26.0
USA,ARG,L,R,2,20.5,28.3
KOR,SWE,R,R,1,25.1,24.3
JPN,SWE,L,R,1,27.3,24.3
ITA,POR,R,R,1,27.6,25.9
AUS,SUI,R,L,4,27.5,27.2
ARG,FRA,R,R,7,25.749999999999996,37.1
CZE,CRO,R,R,1,21.1,26.1
USA,ESP,R,L,4,25.04,41.4
FRA,BOL,R,R,1,27.8,29.5
USA,CHN,R,L,3,26.266666666666666,18.6
CAN,JPN,L,R,1,23.7,29.9
CAN,SVK,R,L,1,22.4,25.1
GBR,FRA,R,R,4,33.675,35.9
BUL,SRB,R,R,1,31.6,27.6
SRB,BUL,R,R,3,35.96666666666667,32.4
SRB,GRE,R,R,1,35.6,24.4
ITA,ARG,R,L,3,27.5,32.9
MDA,AUS,R,R,1,33.2,26.8
CRO,USA,L,R,1,33.6,30.3
PER,ITA,R,R,1,27.3,20.9
SUI,FRA,R,R,2,32.23333333333333,36.6
NED,DEN,L,R,1,26.9,19.7
GER,KOR,R,R,1,25.8,25.1
KOR,JOR,R,L,1,25.2,19.2
COL,ARG,R,R,1,26.6,27.8
POL,FRA,R,R,2,26.05,36.8
FRA,SUI,R,L,3,28.5,27.1
GER,AUS,R,R,4,29.2,31.6
SVK,CRO,L,R,1,25.2,26.3
ARG,GEO,R,R,1,27.8,31.0
ITA,RUS,R,R,8,23.16,29.7
DEN,ARG,R,R,3,20.119999999999997,30.5
POR,ITA,R,L,1,34.0,21.3
AUT,AUT,R,R,2,28.4,30.0
GBR,RUS,R,R,1,32.9,26.9
RUS,CHI,R,R,3,26.73333333333333,27.5
DEN,KAZ,R,R,1,19.9,25.8
ESP,BEL,R,R,1,30.0,32.3
ARG,JOR,R,L,1,28.0,19.4
GBR,HUN,L,R,1,27.7,31.2
HUN,FRA,R,L,2,27.6,24.0
FRA,SWE,R,R,1,18.9,24.6
AUT,USA,R,R,2,28.0,30.1
RUS,MDA,R,R,1,27.0,33.5
ARG,CRO,R,R,3,23.0,26.7
NOR,DEN,R,R,1,24.4,20.0
GER,POL,R,R,1,33.1,26.3
CHN,AUS,R,R,1,23.6,28.1
GER,CAN,R,L,1,26.1,24.1
CHI,GRE,R,R,2,27.75,25.1
DEN,GBR,R,L,1,20.1,27.6
RSA,RUS,R,R,1,26.3,25.8
JPN,SUI,R,L,1,25.2,27.0
USA,BRA,R,L,1,27.1,29.0
SUI,FIN,R,R,1,38.2,24.2
POL,GBR,R,R,1,26.3,27.0
ARG,JPN,R,R,1,28.2,30.4
ITA,SVK,R,R,1,21.3,30.7
CHI,NED,R,L,1,27.8,27.3
BLR,KAZ,R,R,1,29.4,22.7
AUS,RSA,R,R,2,27.25,37.2
POL,GRE,R,R,1,26.5,25.0
JPN,FRA,L,R,1,27.8,29.4
ARG,GER,L,R,1,21.7,31.7
GBR,CHN,R,R,1,36.3,23.2
BUL,CHI,R,R,1,32.3,27.9
FRA,GRE,L,R,1,25.2,25.1
NOR,JPN,R,L,1,24.7,28.0
JPN,ARG,R,R,1,20.3,24.2
AUT,AUS,R,R,2,27.4,29.4
PER,HUN,R,R,1,28.0,24.0
POL,GER,R,R,1,26.6,33.4
KAZ,SUI,R,R,1,22.8,38.5
BUL,ITA,R,R,2,32.4,21.6
KAZ,HUN,R,R,1,22.9,25.2
GBR,SUI,R,L,1,28.7,27.3
CZE,KOR,R,R,1,22.35,26.1
FIN,CAN,R,R,1,22.4,22.1
FIN,ARG,R,R,1,23.8,27.8
KOR,BEL,R,R,1,25.3,32.1
POR,AUT,R,R,1,30.45,30.0
LTU,PAK,R,U,1,25.3,28.6
PAK,INA,R,U,1,43.6,20.6
PAK,INA,U,U,1,21.5,20.6
URU,EGY,U,R,1,18.4,24.5
JAM,EST,R,L,1,21.1,24.8
CRO,GRE,R,R,1,24.8,18.3
GBR,USA,L,R,4,24.9,29.4
USA,GBR,R,R,6,24.883333333333336,36.2
POL,KAZ,R,R,4,26.049999999999997,26.1
USA,GER,R,R,12,26.2375,33.1
GBR,ESP,R,L,1,32.6,34.9
CAN,RUS,L,R,1,23.7,25.4
NED,CRO,R,R,2,27.2,34.2
ITA,IND,R,R,1,20.6,25.9
GRE,FRA,R,R,4,24.599999999999998,36.7
RSA,ITA,R,R,1,25.8,20.8
FRA,FRA,L,R,11,26.96666666666667,37.1
FRA,USA,L,R,10,30.26153846153846,37.7
SRB,BEL,R,R,3,28.200000000000003,24.2
NED,NED,R,R,1,26.5,27.2
ITA,HUN,R,R,3,24.433333333333334,31.2
CAN,ARG,R,R,2,22.45,24.5
GRE,RUS,R,R,2,24.799999999999997,27.4
CHN,FRA,R,L,2,23.5,34.6
USA,DEN,R,R,5,26.28,20.4
FRA,ITA,R,R,7,23.4,30.6
BUL,AUS,R,R,4,32.075,29.2
GBR,ESP,L,R,1,27.4,26.1
AUS,DEN,R,R,2,24.15,20.1
BRA,ITA,L,R,1,28.7,30.4
USA,HUN,R,R,4,24.775,31.5
HUN,SVK,R,L,1,31.0,25.2
RUS,BLR,R,R,2,26.9,29.1
AUS,SWE,R,R,2,22.8,24.5
FRA,ESP,L,R,2,24.35,30.2
NED,NOR,R,R,1,27.4,24.2
GRE,CHI,R,R,3,24.7,27.8
SRB,FRA,R,L,3,25.233333333333334,24.7
SRB,AUT,R,L,1,23.5,23.8
BUL,ECU,R,R,1,31.9,31.3
ESP,GER,R,R,4,20.9,32.9
RUS,SUI,R,R,1,25.5,38.0
SUI,BLR,R,R,1,38.1,29.1
GBR,BEL,L,R,1,27.7,32.4
CAN,USA,L,R,1,24.1,21.8
GRE,CZE,R,L,1,24.7,29.8
NOR,SWE,R,R,1,24.4,27.1
SVK,FRA,L,L,1,25.4,22.6
ARG,AUT,R,R,2,27.5,29.9
POL,NED,R,R,2,26.4,27.3
BRA,ARG,R,L,1,23.2,33.0
NOR,CHI,R,R,2,24.45,27.6
KAZ,CRO,R,R,1,26.0,26.5
ARG,SUI,R,L,2,28.05,27.0
SUI,GBR,L,L,1,27.0,27.6
GBR,SRB,R,R,1,27.0,33.0
COL,GER,R,R,2,27.05,29.9
BEL,CHI,R,R,1,32.5,25.5
RUS,ARG,R,L,1,25.9,33.1
CAN,GBR,L,L,1,24.2,29.4
RUS,BEL,R,R,1,25.7,32.5
BEL,SRB,R,R,1,24.1,28.1
JPN,CHN,R,L,2,29.45,18.6
CHI,MEX,R,L,1,27.8,18.2
TPE,MEX,R,R,1,34.1,27.0
AUS,CHI,R,R,3,24.2,27.8
RSA,ARG,R,L,1,26.5,33.2
BUL,SVK,R,L,1,32.2,25.7
BUL,PER,R,R,1,32.3,27.9
AUS,ARG,L,R,1,30.6,31.0
SWE,ESP,R,R,1,27.5,35.5
GER,POR,L,R,1,28.3,26.6
JOR,USA,L,R,1,20.0,19.2
GER,BIH,R,R,1,28.35,31.3
SVK,GRE,L,R,1,25.7,25.0
JPN,ISR,R,L,1,26.1,23.6
ISR,JPN,R,R,1,28.1,26.1
NOR,PER,R,R,1,26.4,19.4
UKR,LBN,R,R,1,19.1,27.9
HKG,LAT,R,U,1,22.1,18.0
IND,MAR,R,U,1,23.2,19.9
EGY,URU,R,R,1,32.9,24.1
ITA,GRE,R,R,3,21.46666666666667,25.2
GRE,BEL,R,R,1,21.3,32.0
NED,FRA,R,R,6,28.28333333333333,36.9
SWE,USA,R,R,2,24.55,27.7
AUS,ARG,R,R,6,26.183333333333334,31.1
CHN,GER,L,R,1,17.9,29.5
USA,CHI,R,R,2,23.95,26.8
AUS,GER,R,R,7,26.442857142857143,31.1
AUS,TPE,R,R,1,23.65,23.7
POL,ITA,R,R,2,26.1,27.6
RUS,GBR,R,R,6,26.95,36.3
ESP,GBR,R,R,7,25.942857142857147,35.6
USA,USA,R,L,9,26.244444444444444,32.9
ARG,ARG,L,R,3,21.5,30.9
ARG,ESP,L,R,1,21.2,37.0
BOL,ARG,R,R,1,29.6,27.8
FRA,AUS,L,R,8,28.944444444444443,30.0
ITA,FRA,R,R,13,23.306666666666665,37.0
FRA,KAZ,R,R,2,32.9,26.1
FIN,SWE,R,R,1,23.8,24.4
ITA,SUI,R,R,3,21.633333333333336,38.4
BUL,POL,R,R,2,32.05,26.7
GRE,FIN,R,R,1,24.5,23.8
BEL,SVK,R,R,1,32.2,24.9
POL,RUS,R,R,2,26.3,25.9
CHI,JPN,R,L,1,26.7,27.4
GER,FRA,R,R,7,27.1,37.0
ITA,ESP,R,R,8,25.525,35.0
JPN,GER,R,R,1,30.1,25.9
NOR,SRB,R,R,2,24.25,27.9
NED,USA,L,R,1,27.0,37.9
AUS,NED,R,R,3,25.900000000000002,27.4
ARG,BEL,R,R,1,30.6,32.3
CHI,CRO,R,R,1,27.4,26.4
RUS,CHN,R,R,3,28.433333333333337,26.9
JPN,FRA,R,L,2,27.75,35.1
BUL,SUI,R,R,1,31.9,38.1
GER,BEL,R,R,2,28.95,32.4
FRA,GBR,R,R,3,23.96666666666667,33.1
GER,CHI,R,R,4,29.299999999999997,27.9
GER,ITA,R,L,1,24.6,21.4
AUS,CRO,R,R,3,26.7,26.7
POL,BEL,R,R,1,26.2,32.4
GER,RSA,R,R,1,26.1,26.2
ARG,FRA,L,R,4,30.5,27.9
PER,ESP,R,R,1,27.6,35.1
CHN,ARG,R,R,2,26.75,24.2
POL,USA,R,R,3,26.533333333333335,27.1
GER,AUT,R,R,3,28.166666666666668,30.1
USA,RSA,R,R,1,27.1,26.3
CZE,USA,L,R,1,29.9,22.9
GER,GER,R,L,2,28.049999999999997,29.1
RUS,CAN,R,L,1,25.9,24.2
BEL,AUT,R,L,1,24.1,24.1
SWE,SWE,R,R,1,20.1,27.2
FRA,RSA,L,R,2,25.0,37.1
AUS,JOR,R,L,1,22.3,19.6
FRA,NOR,R,R,1,19.1,24.5
ITA,CZE,R,R,1,22.4,21.7
ARG,SVK,R,L,1,22.5,25.6
BRA,AUT,R,R,1,23.3,29.9
CRO,TPE,R,R,1,26.7,34.1
BUL,FRA,R,L,1,32.2,25.0
JPN,CAN,R,R,1,25.3,22.9
RUS,NZL,R,R,1,29.9,26.5
GRE,USA,R,L,1,25.0,20.8
FRA,CAN,L,R,1,35.1,23.0
COL,MDA,R,R,1,27.1,33.7
GER,FRA,L,R,2,28.8,37.3
GBR,MDA,L,R,1,21.6,33.7
CRO,BOL,R,R,1,25.4,30.1
SUI,GRE,L,R,1,21.0,25.0
BUL,DEN,R,R,1,32.3,20.4
FRA,TPE,L,R,1,35.2,22.1
SRB,DEN,R,R,3,32.300000000000004,20.5
RUS,BRA,R,R,1,26.1,23.6
FRA,EST,R,R,1,19.3,20.4
JOR,FRA,L,L,1,19.9,23.1
SRB,KOR,R,R,1,30.65,26.1
AUS,CZE,R,R,1,24.7,22.0
LAT,HKG,R,R,1,23.9,25.0
CHN,MEX,R,R,1,25.9,27.1
CYP,TUN,R,L,1,23.9,25.8
USA,ITA,R,R,10,25.481818181818184,35.6
USA,ESP,R,R,8,25.369999999999997,34.7
CAN,AUS,L,R,1,23.7,21.8
NED,MDA,R,R,1,25.6,33.1
KOR,ESP,R,R,1,25.1,34.7
ITA,ARG,R,R,9,23.740000000000002,30.8
CZE,USA,R,R,7,21.777777777777775,30.5
ARG,FRA,R,L,2,24.049999999999997,34.8
ARG,ITA,R,R,6,25.02857142857143,35.7
CHN,USA,R,R,5,25.242857142857144,37.7
USA,BLR,R,R,4,27.0,29.2
HUN,FRA,R,R,5,26.619999999999997,37.1
FRA,GER,L,R,4,28.75,33.4
ESP,ARG,R,L,5,24.78,33.2
NED,GER,R,R,1,26.6,25.8
ESP,HUN,R,R,3,29.066666666666666,34.5
GBR,BRA,L,L,1,27.4,28.7
ITA,CHI,R,R,3,28.599999999999998,27.9
CHI,ITA,R,R,5,27.52,30.7
FRA,SUI,R,R,3,18.966666666666665,38.6
AUS,SUI,R,R,4,25.075,38.3
ITA,SVK,R,L,1,26.8,25.2
NOR,ARG,R,R,6,24.333333333333332,31.5
RUS,GER,R,R,11,26.728571428571428,32.9
GER,FIN,R,R,1,25.8,23.9
POL,AUS,R,R,5,26.316666666666666,29.0
FIN,ESP,R,R,2,23.9,34.9
AUS,GRE,R,R,1,28.8,24.5
USA,ITA,L,R,2,20.65,35.7
ARG,CAN,R,R,2,24.7,24.4
AUT,USA,R,L,1,29.5,20.4
USA,FRA,L,R,2,21.1,30.8
POL,GBR,R,L,1,26.1,21.2
SUI,NED,R,R,1,38.0,26.7
GRE,ARG,R,R,3,24.633333333333336,30.7
NED,USA,R,R,4,27.4125,29.7
USA,POR,R,R,2,26.45,26.5
CRO,BRA,R,L,1,26.4,28.9
CHI,NED,R,R,1,27.6,26.8
ARG,HUN,R,R,2,23.700000000000003,31.6
CHN,SRB,R,R,4,24.7,33.1
ARG,JPN,R,L,1,23.8,27.6
FRA,ARG,L,L,1,34.9,33.1
SWE,GBR,R,L,1,24.7,29.4
SRB,CHN,R,R,3,23.933333333333337,26.7
USA,CHN,R,R,3,24.766666666666666,23.7
DEN,GBR,R,R,1,20.1,22.2
HUN,NED,R,R,1,31.3,27.0
ARG,CRO,L,R,1,33.1,26.6
RUS,NOR,R,R,1,25.7,24.5
FRA,SWE,R,L,1,19.1,25.8
USA,BRA,R,R,1,26.2,25.4
CHN,BLR,R,R,1,26.8,29.4
GBR,FRA,R,L,1,36.2,24.3
ARG,BLR,L,R,1,21.7,29.5
AUS,HUN,R,R,1,22.5,31.5
USA,RUS,L,R,3,20.900000000000002,30.1
RUS,COL,R,R,1,24.8,27.2
USA,BEL,R,R,1,28.4,29.6
JPN,FRA,L,L,1,27.9,21.6
FRA,NED,L,R,1,25.2,27.9
SWE,CRO,R,R,1,27.5,18.1
NOR,JPN,R,R,1,24.8,25.5
BEL,FRA,R,R,1,32.8,26.9
POL,FRA,R,L,1,26.6,25.3
NED,BRA,R,R,1,27.3,23.6
POL,ARG,R,R,1,26.7,25.2
GBR,SUI,R,R,1,36.3,21.6
FIN,ARG,R,L,1,23.8,32.9
COL,GBR,R,R,1,22.9,32.6
SUI,GER,L,R,1,26.6,29.5
POR,AUT,R,L,1,26.5,24.3
DEN,BRA,R,R,1,20.1,34.6
PER,IRL,R,R,1,24.8,26.4
LUX,SLO,R,R,1,23.9,19.2
GEO,BOL,R,U,1,22.6,20.9
EGY,PAR,R,R,1,28.099999999999998,26.8
JAM,EST,R,R,1,25.05,24.6
TUN,CYP,R,R,1,30.0,26.8
BUL,GRE,R,R,2,30.9,26.5
FRA,NED,R,R,4,22.775,28.0
FRA,USA,R,L,1,26.2,20.2
USA,RUS,R,R,8,26.40909090909091,29.9
ESP,KAZ,R,R,1,23.6,25.5
USA,FIN,R,R,2,27.85,24.3
MDA,ESP,R,L,1,33.2,39.2
NED,SWE,R,R,4,26.9,26.9
CZE,FIN,R,R,2,21.299999999999997,24.0
PER,FRA,R,L,2,27.4,22.5
KAZ,FRA,R,R,4,26.100000000000005,32.6
FRA,RUS,R,R,6,26.625,30.4
AUS,JPN,R,R,4,25.775,30.6
CHI,PER,R,R,1,27.3,27.3
CHI,AUT,R,R,1,26.7,29.4
ESP,CAN,R,R,1,19.8,22.5
SUI,DEN,R,R,1,37.9,19.8
BLR,RUS,R,R,1,29.0,25.5
FIN,FRA,R,R,3,24.099999999999998,31.1
DEN,HUN,R,R,1,19.8,31.1
NED,AUS,R,R,5,27.300000000000004,29.3
ARG,PER,L,R,1,32.8,27.4
BLR,GER,R,R,1,29.0,24.5
CZE,ARG,R,R,2,21.450000000000003,31.0
ARG,TPE,R,R,1,27.9,21.6
DEN,AUT,R,R,2,20.2,30.1
NOR,NED,R,R,1,24.2,27.5
ITA,JPN,R,L,4,23.25,27.9
NOR,USA,R,L,1,24.3,20.5
RUS,PER,R,R,1,25.4,27.5
GRE,AUT,R,R,4,24.799999999999997,30.1
GRE,POR,R,R,1,24.7,26.2
SVK,ITA,L,R,1,25.4,28.0
ARG,USA,L,R,2,33.0,29.9
BEL,ITA,R,R,1,32.4,19.7
BRA,FRA,L,L,1,28.9,34.8
BUL,USA,R,R,4,32.15,28.4
BLR,ARG,R,L,1,29.2,33.0
BEL,ESP,R,R,1,32.4,25.9
GER,SVK,R,L,3,26.166666666666668,25.6
CAN,SRB,R,R,1,32.4,23.7
FRA,GER,R,R,4,31.025000000000002,31.9
ESP,CZE,R,R,2,27.8,21.9
ESP,BLR,R,R,1,30.2,29.3
BUL,JPN,R,R,1,32.1,25.9
USA,JPN,L,R,2,20.85,30.7
GER,USA,L,R,4,28.925,38.2
KAZ,GER,R,L,2,26.15,28.3
AUT,SVK,R,R,1,21.9,30.6
GER,GBR,L,R,1,29.2,33.1
RSA,AUS,R,R,1,26.4,31.5
AUS,TUN,R,R,1,24.4,28.0
GER,CHI,L,R,1,29.2,25.6
ESP,USA,R,L,2,22.299999999999997,21.0
CZE,AUS,R,R,3,22.600000000000005,29.5
GBR,POR,L,R,1,21.6,26.4
CHI,FRA,R,R,1,27.8,19.2
BUL,GBR,R,R,1,32.2,36.2
AUT,PER,R,R,2,28.65,27.9
CZE,SUI,R,R,1,23.0,38.5
POR,GER,R,L,1,26.6,29.4
FRA,SUI,L,L,2,30.25,21.1
CAN,SUI,R,R,1,23.2,21.7
SUI,ITA,L,R,1,21.2,20.3
GER,BIH,L,R,1,28.2,18.9
BRA,DEN,R,R,1,23.5,25.3
BRA,CHN,R,R,1,21.35,25.3
NOR,BRA,R,L,1,24.0,28.5
CRO,FRA,R,L,2,25.6,34.5
FRA,ARG,R,R,6,28.100000000000005,31.0
JPN,AUS,L,R,3,27.599999999999998,29.5
USA,FRA,R,R,19,25.350000000000005,37.3
AUS,CAN,R,R,4,25.18,32.4
KOR,GBR,R,L,1,25.1,21.0
AUS,RUS,R,R,9,25.5,32.4
POL,ESP,R,R,3,26.2,35.5
NED,BLR,R,R,2,27.25,28.9
FRA,BRA,R,L,1,30.6,28.6
FRA,CHN,L,R,2,24.049999999999997,23.3
BUL,RUS,R,R,4,32.0,29.4
USA,GEO,R,R,1,25.2,30.8
RUS,AUS,R,R,14,26.87777777777778,33.5
DEN,USA,R,R,4,19.9,27.8
ARG,ARG,R,R,9,25.923076923076923,31.9
ARG,CHI,R,R,4,22.55,30.2
SRB,PER,R,R,2,34.3,27.6
ARG,CHI,L,L,1,32.3,25.6
MDA,USA,R,R,4,33.400000000000006,30.0
USA,CAN,R,L,3,25.2,23.9
ECU,TPE,R,R,1,31.2,24.7
AUS,ESP,R,R,5,27.28,34.8
SRB,SRB,R,R,5,31.428571428571434,35.9
ARG,PER,R,R,3,23.033333333333335,27.6
BOL,SVK,R,L,1,29.6,25.2
NED,SWE,L,R,1,26.9,26.8
SUI,ESP,R,R,4,36.025,37.0
ITA,SWE,R,R,4,24.02,27.4
ESP,BRA,R,L,1,25.8,28.7
GER,ESP,R,R,5,27.400000000000002,34.9
GBR,GBR,L,R,2,23.933333333333334,35.8
RUS,FRA,R,L,7,26.033333333333335,35.2
HUN,AUS,R,R,4,27.450000000000003,29.1
ARG,BRA,L,L,2,32.95,29.1
SUI,AUS,R,R,1,37.9,26.9
ITA,BUL,R,R,2,21.8,32.3
CHN,GBR,R,R,2,25.049999999999997,28.1
ITA,ITA,R,L,1,35.8,32.8
USA,ARG,R,L,2,35.75,33.0
GER,JPN,R,R,2,28.75,25.2
ARG,GBR,R,L,3,24.45,27.7
AUT,FRA,R,R,5,29.78,36.8
CAN,SVK,L,R,1,24.0,30.4
RUS,UKR,R,R,1,24.4,23.1
RUS,BIH,R,R,1,25.4,30.9
SRB,JOR,R,L,2,21.950000000000003,20.0
JOR,SWE,L,R,1,19.4,27.0
GER,GRE,R,R,2,32.25,24.8
AUT,GBR,R,R,2,25.85,33.3
SRB,GBR,R,L,2,32.166666666666664,28.2
AUT,ITA,R,R,2,28.55,36.0
NOR,GER,R,R,2,24.549999999999997,33.4
SRB,LTU,R,R,1,28.0,32.9
FRA,GRE,R,R,3,31.03333333333333,25.1
FRA,GBR,L,L,3,31.799999999999997,29.4
FRA,ESP,R,L,1,27.9,35.4
NOR,AUT,R,R,1,24.5,27.1
AUT,ARG,R,R,1,27.1,23.9
RSA,CAN,R,R,1,37.1,21.8
GER,GER,L,R,1,28.1,22.7
SUI,AUT,R,R,1,38.3,21.9
SRB,BRA,R,R,1,28.1,23.3
NED,CAN,L,R,1,27.3,21.8
GBR,USA,R,R,1,34.650000000000006,25.5
CAN,JPN,R,R,1,32.6,30.5
POL,CRO,R,R,1,26.5,26.7
CHI,RUS,R,R,1,27.8,26.0
ARG,FIN,R,R,2,24.25,22.1
CHN,NOR,R,R,1,26.8,24.6
POL,HUN,R,R,1,26.6,23.9
HUN,KAZ,R,R,1,31.6,30.3
RUS,JPN,R,R,1,30.1,20.3
CAN,DEN,R,R,1,23.2,20.4
ITA,DEN,R,R,1,22.2,20.5
CAN,CHI,R,L,1,24.5,26.2
SRB,ESP,R,L,1,28.2,35.6
CRO,AUT,R,R,1,25.766666666666666,29.4
CZE,POR,R,R,1,21.53333333333333,33.8
NED,SVK,R,R,1,32.95,30.2
COL,UKR,R,R,1,27.2,28.3
LBN,UKR,R,R,1,27.9,21.2
LUX,RSA,R,R,1,24.3,26.3
